model,patient_id,transition_index,tc_method1_raw,tc_method2_flow_warped,current_empty,previous_empty
standard,P012,49,0.988717,0.986717,0,0
standard,P012,50,0.988174,0.981446,0,0
standard,P012,51,0.977589,0.983412,0,0
standard,P012,52,0.912497,0.979827,0,0
standard,P012,53,0.985949,0.983544,0,0
standard,P012,54,0.977055,0.982651,0,0
standard,P012,55,0.951143,0.979182,0,0
standard,P012,56,0.989149,0.971858,0,0
standard,P012,57,0.970431,0.986447,0,0
standard,P012,58,0.987654,0.987654,0,0
standard,P012,59,0.986071,0.986071,0,0
standard,P012,60,0.926184,0.980732,0,0
standard,P012,61,0.994909,0.994909,0,0
standard,P012,62,0.985977,0.985977,0,0
standard,P012,63,0.993004,0.993004,0,0
standard,P012,64,0.987189,0.987189,0,0
standard,P012,65,0.985039,0.983918,0,0
standard,P012,66,0.992795,0.992795,0,0
standard,P012,67,0.987946,0.987946,0,0
standard,P012,68,0.984413,0.984413,0,0
standard,P012,69,0.970798,0.985957,0,0
standard,P012,70,0.976378,0.988731,0,0
standard,P012,71,0.909854,0.972229,0,0
standard,P012,72,0.919621,0.976931,0,0
standard,P012,73,0.92442,0.980382,0,0
standard,P012,74,0.997768,0.997768,0,0
standard,P012,75,0.994538,0.994538,0,0
standard,P012,76,0.994772,0.994772,0,0
standard,P012,77,0.923535,0.975281,0,0
standard,P012,78,0.992355,0.992355,0,0
standard,P012,79,0.987999,0.987999,0,0
standard,P012,80,0.990027,0.990027,0,0
standard,P012,81,0.987612,0.987612,0,0
standard,P012,82,0.985826,0.985826,0,0
standard,P012,83,0.98116,0.984258,0,0
standard,P012,84,0.980526,0.978909,0,0
standard,P012,85,0.986486,0.985452,0,0
standard,P012,86,0.993298,0.993298,0,0
standard,P012,87,0.970631,0.98275,0,0
standard,P012,88,0.971305,0.985125,0,0
standard,P012,89,0.891756,0.97561,0,0
standard,P012,90,0.901246,0.978967,0,0
standard,P012,91,0.991082,0.991082,0,0
standard,P012,92,0.98687,0.98687,0,0
standard,P012,93,0.995025,0.995025,0,0
standard,P012,94,0.990236,0.990236,0,0
standard,P012,95,0.993077,0.993077,0,0
standard,P012,96,0.993824,0.993824,0,0
standard,P012,97,0.999526,0.999526,0,0
standard,P012,98,0.988785,0.988785,0,0
standard,P012,99,0.982173,0.982173,0,0
standard,P012,100,0.92547,0.974549,0,0
standard,P012,101,0.990371,0.988437,0,0
standard,P012,102,0.900826,0.973751,0,0
standard,P012,103,0.980014,0.98186,0,0
standard,P012,104,0.915525,0.971258,0,0
standard,P012,105,0.90274,0.973599,0,0
standard,P012,106,0.983098,0.983698,0,0
standard,P012,107,0.965244,0.982391,0,0
standard,P012,108,0.987122,0.987122,0,0
standard,P012,109,0.983746,0.983746,0,0
standard,P012,110,0.998819,0.998819,0,0
standard,P012,111,0.983139,0.982181,0,0
standard,P012,112,0.990184,0.988303,0,0
standard,P012,113,0.978476,0.978887,0,0
standard,P012,114,0.965551,0.980718,0,0
standard,P012,115,0.901583,0.958457,0,0
standard,P012,116,0.979813,0.975207,0,0
standard,P012,117,0.916708,0.969727,0,0
standard,P012,118,0.928713,0.974499,0,0
standard,P012,119,0.984789,0.984367,0,0
standard,P012,120,0.988478,0.988478,0,0
standard,P012,121,0.999265,0.999265,0,0
standard,P012,122,0.990439,0.989696,0,0
standard,P012,123,0.985104,0.985104,0,0
standard,P012,124,0.99023,0.99023,0,0
standard,P012,125,0.98224,0.98224,0,0
standard,P012,126,0.966281,0.979478,0,0
standard,P012,127,0.974281,0.991414,0,0
standard,P012,128,0.984537,0.984537,0,0
standard,P012,129,0.967067,0.978143,0,0
standard,P012,130,0.962679,0.985722,0,0
standard,P012,131,0.993672,0.993672,0,0
standard,P012,132,0.920708,0.982456,0,0
standard,P012,133,0.98748,0.98748,0,0
standard,P012,134,0.991132,0.991132,0,0
standard,P012,135,0.9287,0.979686,0,0
standard,P012,136,0.986448,0.986448,0,0
standard,P012,137,0.983896,0.983896,0,0
standard,P012,138,0.993946,0.993946,0,0
